"Title","Text"
"Parmalat to sue auditors","PARMALAT, the bankrupt Italian food company, is suing outside auditors Grant Thornton and Deloitte  amp; Touche, seeking 5.5 billion in damages. "
"Europe and US in aircraft aid row","The European Commission and President George Bush are in a war of words over subsidies given to aircraft makers Airbus and Boeing."
"Patterson makes it an all-around sweep for US","Two decades later, it #39;s time to make room for Carly Patterson as America #39;s next reigning champion of Olympic women #39;s gymnastics. "
"Kerry: Bush Lets Groups Do 'Dirty Work'","BOSTON - Sen. John Kerry accused President Bush on Thursday of relying on front groups to challenge his record of valor in Vietnam, asserting, ""He wants them to do his dirty work.""   Fighting back, Kerry said if Bush wants to ""have a debate about our service in Vietnam, here is my answer: 'Bring it on.'"" Bush served stateside in the Texas Air National Guard during the war..."
"Bush pressing case for  #39;ownership society #39;","Amid signs that the economy is cooling, President Bush is showcasing initiatives for a second term under the banner of an  quot;ownership society quot; in hopes of bolstering his economic stewardship credentials."
"The Art of Controlled Aggression"," ATHENS (Reuters) - The word judo means ""Way of Gentleness""  in Japanese."
"Vandy #39;s List gets in final of Amateur","MAMARONECK, NY - Luke List has already made it further than he ever thought, so why stop now? That #39;s the attitude of the 19-year-old Vanderbilt sophomore, who continued his string of US Amateur upsets with "
"Google rises in market debut after bumpy IPO","NEW YORK/SEATTLE, Aug 19 (Reuters) - Google Inc. (GOOG.O: Quote, Profile, Research) shares made their long-awaited stock market debut on Thursday, rising sharply to \$100 after an initial public offering marked by ..."
"Winning is Greek to US: Outlasts h","ATHENS - Larry Brown found out some things about his team last night. Among them was that Allen Iverson apparently shoots better with a fractured right thumb than he does with two healthy paws. "
"ICJ ruling on Israeli fences may lead to sanctions: Attorney General","JERUSALEM, Aug. 19 (Xinhuanet) -- Israeli Attorney General Menachem Mazuz said Thursday that the Hague ruling by the International Court of Justice (ICJ) on Israeli security fences could lead to sanctions against the country, local newspaper Ha #39;aretz ..."
"Nortel accounting faces probe","Canadian officials are opening a criminal investigation into accounting at Nortel Networks Corp. Shares in the telecom equipment maker edged lower yesterday."
"Darfur humanitarian crisis easing, UN says","KHARTOUM, Sudan  While violence remains a major concern, the humanitarian crisis in the Darfur region is easing and large-scale deaths from malnutrition and disease are likely to be averted as international assistance pours in, UN ..."
"IBM seeks dismissal of breach of contract claims in SCO case","IBM has filed court documents seeking a dismissal of a second major component of the lawsuit filed against it last year by Unix supplier SCO. "
"At least someone #39;s winning in this war","News Item:  quot;The US Army has threatened to partially withhold payments to Halliburton due to allegations of overcharges for food, shelter and services. quot; ..."
"Hollywood awaits Termite from Texas and Iraqi fly","What an inspirational story: former world title contender becomes used car salesman in Texas, becomes rattlesnake killer, becomes pest exterminator in Baghdad, becomes boxing coach of Iraq and self-proclaimed  quot;saviour quot; of that troubled nation. It is ..."
"Late surge lifts US past Aussies","The Mason's Union membership cards should be arriving any day now, but while they wait for them to be distributed, the United States men's basketball team was able to concoct a winning formula by relying on their unquestioned athletic superiority over the Australians yesterday."
"NL Wrap: Green Homers Lift Los Angeles Past Atlanta"," NEW YORK (Reuters) - Shawn Green hit two home runs,  including a grand slam, as Los Angeles defeated the Atlanta  Braves 7-4 in a battle of National League division leaders at  Dodger Stadium on Saturday."
"Treasuries, Oil Up, Inflation in Check"," NEW YORK (Reuters) - Treasury debt prices rallied on  Tuesday, dragging yields to four-month lows as July inflation  figures proved subdued and soaring oil prices pointed to slower  U.S. consumer spending down the line."
"Briefly: Gateway says, hold on to your hard drive","roundup Plus: Kinko's debuts Web-based print options...Majoras takes charge of FTC...Business Objects to bundle IBM tools."
"Mass. still a no-go for Geic","Geico Corp., the nation's fifth-largest auto insurer, started selling policies in New Jersey yesterday for the first time in 28 years, leaving Massachusetts as the lone state where the company won't do business."
"Falcons' Kerney Sprains Knee in Practice (AP)","AP - Atlanta Falcons defensive end Patrick Kerney sprained his right knee in practice on Sunday when a lineman rolled on his leg."
"Report: Tougher testing on the way for MLB","NEW YORK (Ticker) - With the dark cloud of steroids continuing to hover over baseball, it appears a tougher drug-testing policy may be in effect by spring training."
"U.S. Wins Rowing Gold","The American men's elite eight crew ends a four-decade drought in rowing gold medals Sunday, pulling out to a big lead and fending off a late charge by the Netherlands."
"Cisco flaw opens networks to attacks","Cisco has warned in a security advisory that some networks with its routers could be vulnerable to denial-of-service attacks. "
"U.S. Men End 40-Year Rowing Drought"," ATHENS (Reuters) - The United States stormed to their first  Olympic men's eights title in 40 years on Sunday."
"Remy International will sell its Williams Technologies unit","Anderson (Star report) -- Remy International Inc. said Wednesday it has agreed to sell its US transmission remanufacturing operation, Williams Technologies Inc., to Caterpillar Inc. "
"ING to Withdraw \$5 Bln from Janus Funds","NEW YORK (Reuters) - ING US Financial Services said late on Tuesday it will withdraw about \$5 billion from Janus Capital Group Inc. funds by year-end. "
"Microsoft Issues 2nd SQL Server 2005 Public Beta","On Friday, Microsoft issued its second Community Technology Preview (CTP) release of SQL Server 2005, while providing public testers with a new beta release as well, SQL Server 2005 Express Manager, a new, free database management tool."
"Mutual Funds Opt to Liquidate","Some of the nations more than 8,000 mutual funds are shutting their doors, as their manag- ers confront a lackluster stock market, great- er regulatory scrutiny and higher costs."
"Michael Phelps Wins Second Gold Medal (AP)","AP - Michael Phelps, denied in his bid to win seven gold medals, picked up his second victory of the Athens Games by winning the 200-meter butterfly Tuesday night in Olympic-record time. Phelps fell just short of his own world record, holding off Takashi Yamamoto to win in 1 minute, 54.01 seconds. The hard-charging Japanese swimmer took silver in 1:54.56, while Great Britain's Stephen Parry won bronze in 1:55.22."
"PM clarifies Downer #39;s ANZUS comments","MAXINE MCKEW: The Prime Minister has gently steered his Government back onto the official diplomatic line about Australia #39;s military obligations to America. "
"7 More Managers Fired Over Nortel Accounting","The company announced the firings on Thursday along with a restructuring plan that included layoffs of about 3,500 employees."
"Sharon #39;s Gaza plan hinges on vote","Israeli Prime Minister Ariel Sharon has lost a key vote which would have seen the dovish Labour Party join the government coalition and salvage his Gaza disengagement plan. "
"Germany #39;s Chancellor Schroder and his wife adopt Russian girl","Germany #39;s Chancellor Gerhard Schroder and his wife Doris have adopted a three-year-old Russian girl who has been living with them for over a fortnight, Germany #39;s mass circulation Bild newspaper revealed yesterday. "
"Paes-Bhupathi overcome injury scare and Federer","Athens, Aug 19. (PTI):Leander Paes and Mahesh Bhupathi overcame an injury scare and world number one singles #39; player Roger Federer of Switzerland to advance to the quarterfinals of the men #39;s doubles tennis event at the Olympic Games here on Wednesday. "
"Borders Profits Rise, Raises Outlook"," NEW YORK (Reuters) - Borders Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BGP.N target=/stocks/quickinfo/fullquote""&gt;BGP.N&lt;/A&gt;, the No. 2  U.S. bookseller, on Tuesday said quarterly earnings rose,  beating estimates by the company and Wall Street, largely  because of stronger-than-expected book sales."
"New media battle for Bafta awards","The BBC leads the nominations for the Bafta Interactive Awards, including one for the Radio Times website."
"Seahawks Defeat Packers 21-3 in Preseason (AP)","AP - Fourth-string quarterback Seneca Wallace led Seattle on two touchdown drives and the Seahawks took advantage of Tim Couch's dismal debut for Green Bay in a 21-3 exhibition victory over the Packers on Monday night."
"Alcoa closing Ohio plant, cutting 140 jobs","Alcoa Inc. will close an automotive components factory in Ohio and lay off its staff in a bid to cut excess capacity, the Pittsburgh-based company said Tuesday. "
"Home Depot Sees 2Q Profit Jump","The Home Depot Inc. reported a nearly 19 percent jump in second-quarter profit on record sales as it benefited from strong performance in stores open at least a year. It also raised its earnings outlook for the year."
"Competition probe would see Santander turn its back on Abbey","Banco Santander would walk away from its 8.2bn offer for Abbey National, the mortgage bank, if a rival bid from one or more UK banks led to a lengthy investigation by the competition authorities."
"Basketball: Americans Behind Again at Halftime"," ATHENS (Reuters) - The U.S. men's basketball team were once  again in danger of defeat at the Olympic tournament on  Thursday, trailing Australia 51-47 at the end of the first  half."
"Cubs face music after suffering heartbreak","Usually after a heartbreaking loss, the losing team #39;s locker room is as quiet as a tomb. Cubs closer LaTroy Hawkins, who allowed two runs in the bottom of the ninth and suffered the "
"UK Terrorist Suspects Have Case Sent to Old Bailey (Update2)","Aug. 18 (Bloomberg) -- The case against eight men charged with conspiracy to commit murder and carry out terrorist attacks was referred to the Old Bailey, London #39;s central criminal court. "
