"Tag","Title","Text"
2,"Beckham gets backing of Eriksson","Sven-Goran Eriksson has urged David Beckham to think twice before admitting to any on-the-field indiscretions. The England midfielder has come under fire for revealing that he deliberately got booked against Wales."
1,"22 dead afrter ship carrying illegal immigrants capsizes","A boat carrying would-be immigrants to Italy capsized in the Mediterranean, killing at least 22 people and leaving dozens more missing."
2,"Diamondbacks Fire Backman (Reuters)","Reuters - The Arizona Diamondbacks have\fired newly-hired manager Wally Backman and are expected to\replace him with Bob Melvin, according to a published report."
3,"EDS Reduces 2004 Cash Flow Projections","Electronic Data Systems Corp. cut its cash flow projections for 2004 on Monday because it spent \$522 million to pay off money borrowed by a trust to finance a huge technology contract with the Navy."
4,"NASA Designer Maxime Faget Dies","Maxime A. Faget, 83, a retired NASA aeronautical engineer whose innovative designs contributed greatly to manned spacecraft from Mercury to the space shuttle, died of cancer Oct. 10 at his home in Houston."
4,"Briefly: Dell updates low-end server line","roundup Plus: SAS Institute lures former Red Hat CFO...McAfee CFO joins Cray board...Unisys boosts COO to CEO...Turn your fingerprints into passwords."
2,"Magical day for Meehan","It was a day to seek refuge on the Rowley Mile here yesterday, not only from the showers but also from the results. There was a 22-1 winner in the first race of the Cambridgeshire meeting, and the 11-1 chance Nights Cross took the second."
3,"Chrysler recalls 240,000 vans over threat of speaker fire","DaimlerChrysler AG #39;s Chrysler recalled 240,000 Dodge Caravan and similar minivans and sedans because a short circuit can set fire to rear speakers of the radio."
3,"US Construction Spending Down in Nov"," WASHINGTON (Reuters) - U.S. construction spending fell  unexpectedly by 0.4 percent in November, as a cooling in  residential construction overpowered a small rise in public  spending, a government report showed on Monday."
1,"US Fights Baghdad Militants; GI Killed","Insurgents battled American troops in the streets of Baghdad on Saturday, killing a US soldier in an ambush and gunning down four government employees in signals that the "
1,"Report: Egypt brokers Israeli-Palestinian cease-fire, peace &lt;b&gt;...&lt;/b&gt;","The official news agency of Egypt says leaders there have reached an understanding with Israel, the Palestinians, the United States and Europe."
