"ID","Text"
766192484,"RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH"
766192485,"VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF"
766192486,"Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices."
766192487,"RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senateâ€™s procedural vote today at 5:30 pm"
766192488,".@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u"
766192489,"Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)"
766192490,"@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga"
766192491,"Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd"
766192492,"What a wonderful night at State Senator Ken Yagerâ€™s Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR"
766192493,"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines"
766192494,"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca"
766192495,"The President doesnâ€™t get to just decide he doesnâ€™t like Congress and do his own thing: http://t.co/jmclKjUzSG"
766192496,"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets."
766192497,"RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g"
766192498,"@SkitchP Wouldn't wish that on anyone. Even you, Skitch."
766192499,"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets."
766192500,"""...if you have come because your liberation is bound up with mine, then let us work together."" â€“ Lilla Watson http://t.co/6WPXW9QUM0"
766192501,"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled"
766192502,"The House will vote this week to #DefundObamacare and keep the government open."
766192503,"Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT"
