,ID,Cluster
0,766192484,1
1,766192485,3
2,766192486,0
3,766192487,1
4,766192488,1
5,766192489,3
6,766192490,1
7,766192491,0
8,766192492,1
9,766192493,3
10,766192494,1
11,766192495,3
12,766192496,1
13,766192497,3
14,766192498,3
15,766192499,1
16,766192500,3
17,766192501,1
18,766192502,1
19,766192503,1
20,766192504,3
21,766192505,3
22,766192506,3
23,766192507,1
24,766192508,1
25,766192509,1
26,766192510,3
27,766192511,3
28,766192512,3
29,766192513,1
30,766192514,3
31,766192515,3
32,766192516,1
33,766192517,1
34,766192518,3
35,766192519,1
36,766192520,3
37,766192521,1
38,766192522,3
39,766192523,3
40,766192524,1
41,766192525,3
42,766192526,1
43,766192527,3
44,766192528,1
45,766192529,1
46,766192530,3
47,766192531,1
48,766192532,3
49,766192533,3
50,766192534,3
51,766192535,1
52,766192536,1
53,766192537,3
54,766192538,3
55,766192539,1
56,766192540,3
57,766192541,3
58,766192542,3
59,766192543,3
60,766192544,0
61,766192545,3
62,766192546,3
63,766192547,3
64,766192548,3
65,766192549,1
66,766192550,3
67,766192551,3
68,766192552,1
69,766192553,3
70,766192554,3
71,766192555,1
72,766192556,3
73,766192557,3
74,766192558,1
75,766192559,3
76,766192560,1
77,766192561,1
78,766192562,3
79,766192563,1
80,766192564,3
81,766192565,1
82,766192566,3
83,766192567,1
84,766192568,1
85,766192569,3
86,766192570,3
87,766192571,3
88,766192572,3
89,766192573,1
90,766192574,1
91,766192575,0
92,766192576,1
93,766192577,3
94,766192578,3
95,766192579,3
96,766192580,3
97,766192581,3
98,766192582,3
99,766192583,1
100,766192585,3
101,766192586,3
102,766192587,3
103,766192588,3
104,766192589,3
105,766192590,0
106,766192591,1
107,766192592,3
108,766192593,1
109,766192594,3
110,766192595,3
111,766192596,1
112,766192597,1
113,766192598,1
114,766192599,3
115,766192600,3
116,766192601,3
117,766192602,3
118,766192603,1
119,766192604,1
120,766192605,1
121,766192606,1
122,766192607,3
123,766192608,1
124,766192609,3
125,766192610,3
126,766192611,3
127,766192612,3
128,766192613,1
129,766192614,1
130,766192615,3
131,766192616,3
132,766192617,3
133,766192618,1
134,766192619,1
135,766192620,3
136,766192621,0
137,766192622,1
138,766192623,1
139,766192624,1
140,766192625,1
141,766192626,3
142,766192627,3
143,766192628,3
