,ID,Cluster
0,766192484,4
1,766192485,3
2,766192486,2
3,766192487,3
4,766192488,3
5,766192489,0
6,766192490,2
7,766192491,0
8,766192492,1
9,766192493,3
10,766192494,1
11,766192495,0
12,766192496,3
13,766192497,4
14,766192498,4
15,766192499,3
16,766192500,2
17,766192501,1
18,766192502,1
19,766192503,4
20,766192504,2
21,766192505,4
22,766192506,3
23,766192507,3
24,766192508,2
25,766192509,1
26,766192510,4
27,766192511,3
28,766192512,3
29,766192513,0
30,766192514,4
31,766192515,0
32,766192516,3
33,766192517,3
34,766192518,4
35,766192519,1
36,766192520,3
37,766192521,3
38,766192522,2
39,766192523,4
40,766192524,0
41,766192525,2
42,766192526,1
43,766192527,1
44,766192528,3
45,766192529,1
46,766192530,4
47,766192531,3
48,766192532,2
49,766192533,4
50,766192534,3
51,766192535,3
52,766192536,3
53,766192537,3
54,766192538,2
55,766192539,0
56,766192540,3
57,766192541,4
58,766192542,4
59,766192543,2
60,766192544,0
61,766192545,3
62,766192546,0
63,766192547,4
64,766192548,4
65,766192549,1
66,766192550,4
67,766192551,4
68,766192552,4
69,766192553,0
70,766192554,3
71,766192555,1
72,766192556,4
73,766192557,4
74,766192558,2
75,766192559,0
76,766192560,4
77,766192561,4
78,766192562,4
79,766192563,3
80,766192564,4
81,766192565,3
82,766192566,4
83,766192567,3
84,766192568,3
85,766192569,4
86,766192570,4
87,766192571,0
88,766192572,4
89,766192573,3
90,766192574,0
91,766192575,4
92,766192576,4
93,766192577,3
94,766192578,4
95,766192579,2
96,766192580,4
97,766192581,4
98,766192582,2
99,766192583,4
100,766192585,1
101,766192586,4
102,766192587,2
103,766192588,4
104,766192589,4
105,766192590,3
106,766192591,2
107,766192592,3
108,766192593,3
109,766192594,4
110,766192595,4
111,766192596,3
112,766192597,4
113,766192598,1
114,766192599,0
115,766192600,0
116,766192601,4
117,766192602,4
118,766192603,1
119,766192604,4
120,766192605,1
121,766192606,3
122,766192607,4
123,766192608,3
124,766192609,0
125,766192610,2
126,766192611,4
127,766192612,4
128,766192613,2
129,766192614,4
130,766192615,4
131,766192616,2
132,766192617,3
133,766192618,3
134,766192619,3
135,766192620,0
136,766192621,0
137,766192622,4
138,766192623,1
139,766192624,3
140,766192625,3
141,766192626,2
142,766192627,2
143,766192628,1
144,766192629,4
145,766192630,4
146,766192631,2
147,766192632,2
148,766192633,4
149,766192634,1
150,766192635,3
151,766192636,3
152,766192637,2
153,766192638,3
154,766192639,0
155,766192640,0
156,766192641,4
157,766192642,2
158,766192643,3
159,766192644,4
160,766192645,4
161,766192646,4
162,766192647,0
163,766192648,4
164,766192649,0
165,766192650,2
166,766192651,3
167,766192652,4
168,766192653,2
169,766192654,2
170,766192655,4
171,766192656,0
172,766192657,3
173,766192658,2
174,766192659,2
175,766192660,3
176,766192661,4
177,766192662,4
178,766192663,0
179,766192664,1
180,766192665,1
181,766192666,4
182,766192667,3
183,766192668,4
184,766192669,4
185,766192670,3
186,766192671,4
187,766192672,3
188,766192673,4
189,766192674,4
190,766192675,3
191,766192676,3
192,766192677,0
193,766192678,4
194,766192679,4
195,766192680,1
196,766192681,2
197,766192682,4
198,766192683,3
199,766192684,0
200,766192685,4
201,766192686,4
202,766192687,4
203,766192688,3
204,766192689,3
205,766192690,4
206,766192691,4
207,766192692,4
208,766192693,3
209,766192694,3
210,766192695,3
211,766192696,3
212,766192697,0
213,766192698,2
214,766192699,0
215,766192700,2
216,766192701,3
217,766192702,0
218,766192703,3
219,766192704,3
220,766192705,3
221,766192706,3
222,766192707,1
223,766192708,0
224,766192709,4
225,766192710,4
226,766192711,4
227,766192712,4
228,766192713,0
229,766192714,1
230,766192715,4
231,766192716,4
232,766192717,4
233,766192718,0
234,766192719,3
235,766192720,2
236,766192721,3
237,766192722,0
238,766192723,3
239,766192724,0
240,766192725,3
241,766192726,0
242,766192727,3
243,766192728,2
244,766192729,2
245,766192730,4
246,766192731,3
247,766192732,1
248,766192733,3
249,766192734,0
250,766192735,0
251,766192736,4
252,766192737,3
253,766192738,4
254,766192739,0
255,766192740,3
256,766192741,3
257,766192742,3
258,766192743,3
259,766192744,4
260,766192745,4
261,766192746,3
262,766192747,3
263,766192748,4
264,766192749,2
265,766192750,2
266,766192751,3
267,766192752,4
268,766192753,2
269,766192754,3
