,ID,Cluster
0,766192484,0
1,766192485,0
2,766192486,1
3,766192487,1
4,766192488,0
5,766192489,2
6,766192490,0
7,766192491,0
8,766192492,2
9,766192493,0
10,766192494,1
11,766192495,1
12,766192496,1
13,766192497,2
14,766192498,2
15,766192499,2
16,766192500,0
17,766192501,0
18,766192502,1
19,766192503,0
20,766192504,0
21,766192505,2
22,766192506,0
23,766192507,1
24,766192508,0
25,766192509,0
26,766192510,2
27,766192511,0
28,766192512,0
29,766192513,0
30,766192514,0
31,766192515,0
32,766192516,0
33,766192517,0
34,766192518,2
35,766192519,0
36,766192520,0
37,766192521,1
38,766192522,1
39,766192523,1
40,766192524,0
41,766192525,1
42,766192526,0
43,766192527,0
44,766192528,0
45,766192529,1
46,766192530,0
47,766192531,0
48,766192532,2
49,766192533,2
50,766192534,1
51,766192535,0
52,766192536,2
53,766192537,0
54,766192538,1
55,766192539,2
56,766192540,1
57,766192541,0
58,766192542,0
59,766192543,2
60,766192544,0
61,766192545,2
62,766192546,0
63,766192547,2
64,766192548,2
65,766192549,2
66,766192550,2
67,766192551,0
68,766192552,0
69,766192553,0
70,766192554,0
71,766192555,1
72,766192556,0
73,766192557,0
74,766192558,1
75,766192559,1
76,766192560,0
77,766192561,0
78,766192562,0
79,766192563,2
80,766192564,0
81,766192565,1
82,766192566,0
83,766192567,0
84,766192568,1
85,766192569,0
86,766192570,2
87,766192571,0
88,766192572,0
89,766192573,2
90,766192574,0
91,766192575,0
92,766192576,0
93,766192577,2
94,766192578,2
95,766192579,1
96,766192580,2
97,766192581,0
98,766192582,0
99,766192583,0
100,766192585,2
101,766192586,0
102,766192587,2
103,766192588,0
104,766192589,2
105,766192590,0
106,766192591,2
107,766192592,2
108,766192593,1
109,766192594,2
110,766192595,0
111,766192596,0
112,766192597,0
113,766192598,0
114,766192599,2
115,766192600,1
116,766192601,0
117,766192602,0
118,766192603,1
119,766192604,2
120,766192605,0
121,766192606,1
122,766192607,0
123,766192608,0
124,766192609,2
125,766192610,2
126,766192611,0
127,766192612,0
128,766192613,0
129,766192614,2
130,766192615,0
131,766192616,0
132,766192617,2
133,766192618,1
134,766192619,1
135,766192620,1
136,766192621,1
137,766192622,2
138,766192623,0
139,766192624,0
140,766192625,0
141,766192626,2
142,766192627,1
143,766192628,1
144,766192629,0
145,766192630,2
146,766192631,1
147,766192632,0
148,766192633,1
149,766192634,0
150,766192635,2
151,766192636,0
152,766192637,0
153,766192638,0
154,766192639,2
155,766192640,1
156,766192641,2
157,766192642,0
158,766192643,0
159,766192644,2
160,766192645,0
161,766192646,2
162,766192647,0
163,766192648,0
164,766192649,1
165,766192650,0
166,766192651,1
167,766192652,2
168,766192653,1
169,766192654,2
